,HIP,Sn,So,Nc,RArad,e_RArad,DErad,e_DErad,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Ntr,F2,F1,var,Hpmag,e_Hpmag,sHp,VA,bv,e_BV,VI,hip2_oid,ic,UW
10,HIP_13847,17,3,2,0.777814395,0.37,-0.703450324,0.45,20.3,0.53,-52.79,0.51,22.05,0.6,150,29.17,2,0.0,2.9378,0.0011,0.009,0,0.128,0.012,0.17,13813,134,"9.28,0.45,8.32,-0.37,-0.34,6.21,1.61,0.43,-0.47,7.72,0.46,1.54,0.69,0.75,6.01"
11,HIP_14135,5,0,1,0.795345025,0.4,0.071382667,0.33,13.1,0.44,-10.4,0.51,-76.85,0.36,56,11.25,0,0.0,2.6196,0.0033,0.012,2,1.63,0.04,1.97,14101,0,"7.10,-3.44,7.24,-1.72,0.37,5.29,-1.58,-1.06,0.51,4.95,-0.32,0.73,-0.56,-2.72,6.44"
12,HIP_17702,5,0,1,0.992587958,0.39,0.420715836,0.25,8.09,0.42,19.34,0.39,-43.67,0.33,53,6.61,0,0.0,2.848,0.0006,0.004,0,-0.086,0.012,-0.01,17659,0,"5.70,-2.45,7.74,-2.33,-0.54,4.23,-1.04,-0.64,-0.95,4.67,-0.43,-2.09,0.92,-1.52,5.21"
13,HIP_18246,5,0,1,1.021593463,0.14,0.556474806,0.1,4.33,0.19,5.78,0.24,-9.92,0.19,125,0.05,1,0.0,2.898,0.0006,0.007,0,0.271,0.02,0.18,18200,0,"7.61,-4.75,11.87,0.33,0.90,5.44,-1.02,0.59,-0.97,4.25,1.55,-2.92,0.97,-1.47,5.32"
14,HIP_18543,7,0,1,1.038596715,0.68,-0.235763342,0.52,16.04,0.58,61.58,0.78,-113.12,0.62,66,16.96,0,0.0,3.0703,0.0019,0.017,2,1.588,0.006,1.78,18495,179,"6.44,-0.76,8.43,-1.11,0.08,5.55,-0.36,-0.08,-0.60,4.00,-0.06,0.50,-0.63,-0.71,5.04"
15,HIP_21421,1,0,1,1.203928152,0.64,0.288149698,0.43,48.92,0.77,63.44,0.84,-188.93,0.65,61,0.18,0,2.3,1.0024,0.0026,0.01,0,1.538,0.008,1.67,21367,0,"1.79,-1.03,2.51,-0.55,0.35,1.40,0.05,0.14,0.06,1.45,0.17,-0.33,0.53,-1.04,1.55"
16,HIP_23015,5,0,1,1.29587907,0.32,0.578858269,0.21,6.62,0.38,6.82,0.42,-14.87,0.27,45,4.22,0,0.0,2.8337,0.0013,0.005,0,1.49,0.042,1.46,22960,0,"5.39,0.22,7.94,-2.06,1.89,4.06,1.08,-0.07,-0.29,3.61,-0.06,1.59,1.21,0.75,5.59"
17,HIP_23685,5,0,1,1.332824468,0.11,-0.390445106,0.12,15.29,0.19,21.12,0.2,-73.12,0.17,150,2.24,2,0.0,3.3215,0.0006,0.006,0,1.46,0.043,1.5,23629,0,"10.60,1.40,9.58,-0.05,0.47,6.04,-0.58,1.36,-0.74,6.15,1.15,-0.64,0.38,2.46,6.86"
18,HIP_23875,1,0,1,1.343251498,0.38,-0.088772031,0.27,36.49,0.42,-82.81,0.49,-75.39,0.31,89,-0.38,1,1.6,2.8258,0.0004,0.003,0,0.161,0.003,0.16,23819,0,"3.12,0.62,4.44,-0.31,0.53,2.32,-0.18,1.21,-0.04,2.11,1.69,-0.27,0.41,1.26,3.14"
19,HIP_24436,5,0,1,1.3724303,0.3,-0.143145615,0.25,3.78,0.34,1.3,0.4,0.5,0.3,73,12.25,0,0.0,0.193,0.0015,0.014,1,-0.03,0.6,0.03,24376,0,"7.83,-0.07,10.57,-0.54,0.61,6.57,0.19,1.79,0.08,5.58,2.42,3.61,-0.20,-0.46,7.47"
